Timer map              on rank  23 :    664 ms,     11 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  24 :    665 ms,     11 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  25 :    653 ms,     10 ms,      5 ms,     18 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  26 :    669 ms,     11 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  27 :    642 ms,     10 ms,      6 ms,     15 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  28 :    650 ms,     10 ms,      4 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  29 :    657 ms,     10 ms,      4 ms,     15 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  30 :    642 ms,     10 ms,      5 ms,     15 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  31 :    669 ms,     11 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  32 :    679 ms,     11 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  33 :    671 ms,     11 ms,      6 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  34 :    647 ms,     10 ms,      6 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  35 :    695 ms,     11 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  36 :    706 ms,     11 ms,      5 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  37 :    693 ms,     11 ms,      5 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  38 :    695 ms,     11 ms,      5 ms,     18 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  39 :    657 ms,     10 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  40 :    674 ms,     11 ms,      5 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  41 :    677 ms,     11 ms,      5 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  42 :    696 ms,     11 ms,      5 ms,     16 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  43 :    720 ms,     12 ms,      5 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  44 :    682 ms,     11 ms,      5 ms,     17 ms,  60 (total, mean, min, max, timings)
Timer map              on rank  45 :    689 ms,     11 ms,      5 ms,     17 ms,  60 (total, mean, min, max, timings)
